Date,Open,High,Low,Close,Volume
2016-10-31,114.35,114.74,113.38,113.84,1394802.0
2016-11-01,113.77,114.35,112.86,113.6,1758588.0
2016-11-02,113.79,114.56,112.91,113.49,1377710.0
2016-11-03,114.03,114.34,113.38,114.07,1244870.0
2016-11-04,114.2,115.47,114.1,114.58,1344282.0
2016-11-07,116.52,117.31,115.65,117.27,1665847.0
2016-11-08,117.08,118.49,116.585,117.94,1250287.0
2016-11-09,116.83,120.65,116.0,119.9,1221293.0
2016-11-10,120.64,125.18,120.64,125.07,1805906.0
2016-11-11,124.71,126.32,124.32,125.78,1807316.0
2016-11-14,126.07,126.72,121.53,121.89,2509259.0
2016-11-15,121.78,122.71,120.7,122.69,990956.0
2016-11-16,123.32,123.32,121.78,123.03,892765.0
2016-11-17,123.23,123.54,121.9,122.02,706892.0
2016-11-18,121.99,123.13,121.36,121.56,548935.0
2016-11-21,122.19,122.5,120.71,121.13,798656.0
2016-11-22,121.41,121.51,120.34,120.98,1075409.0
2016-11-23,121.22,121.56,119.7,120.4,1504019.0
2016-11-25,120.61,121.6,120.5,121.6,380631.0
2016-11-28,121.32,121.58,119.53,119.64,1123768.0
2016-11-29,119.4,120.865,119.25,119.93,632602.0
2016-11-30,119.94,120.78,118.45,118.63,857081.0
2016-12-01,119.09,119.91,118.54,118.82,826933.0
2016-12-02,118.91,119.2,118.12,118.23,888643.0
2016-12-05,119.25,119.82,118.58,119.15,799897.0
2016-12-06,118.95,119.27,118.01,118.64,995778.0
2016-12-07,118.18,120.59,118.18,120.58,709497.0
2016-12-08,120.45,121.62,119.89,120.95,693256.0
2016-12-09,120.79,121.18,119.76,120.5,609041.0
2016-12-12,120.34,120.71,119.725,120.13,758702.0
2016-12-13,120.18,120.89,117.87,119.1,1163721.0
2016-12-14,119.11,120.733,117.95,118.2,1100117.0
2016-12-15,118.04,120.03,117.48,118.16,1539513.0
2016-12-16,117.98,118.94,116.74,116.77,1722328.0
2016-12-19,116.91,118.15,116.87,117.44,930801.0
2016-12-20,117.77,117.98,117.03,117.21,725663.0
2016-12-21,117.39,117.57,116.17,116.78,901940.0
2016-12-22,116.86,117.18,115.62,115.81,811427.0
2016-12-23,115.86,117.04,115.86,116.69,509060.0
2016-12-27,116.94,116.94,115.95,116.49,450345.0
2016-12-28,116.74,117.27,114.89,115.09,571675.0
2016-12-29,115.12,116.58,114.83,115.24,546815.0
2016-12-30,115.72,115.895,114.2682,114.69,594480.0
2017-01-03,115.64,116.3599,114.86,115.75,731724.0
2017-01-04,116.22,116.94,115.775,116.48,940081.0
2017-01-05,120.11,120.685,117.58,118.35,1944385.0
2017-01-06,118.59,118.95,117.52,118.21,1016491.0
2017-01-09,118.21,118.88,117.54,117.66,923847.0
2017-01-10,117.96,119.1,117.43,117.75,936318.0
2017-01-11,117.98,118.12,116.95,117.99,959413.0
2017-01-12,117.93,118.86,116.63,118.76,961242.0
2017-01-13,118.92,119.46,118.19,119.33,813779.0
2017-01-17,118.32,118.78,117.42,118.3,935685.0
2017-01-18,118.53,121.95,117.94,120.2,1649333.0
2017-01-19,120.02,120.9,119.41,119.66,637271.0
2017-01-20,120.38,120.63,119.5,119.99,910118.0
2017-01-23,119.49,120.55,119.25,120.47,942401.0
2017-01-24,120.7,123.17,120.2,122.67,1345790.0
2017-01-25,123.11,124.79,122.89,124.29,1605072.0
2017-01-26,123.2,126.345,120.56,124.1,1943675.0
2017-01-27,124.64,126.43,124.4125,125.03,983973.0
2017-01-30,128.77,128.77,124.1,125.06,1136353.0
2017-01-31,124.9,125.15,123.19,124.0,1245911.0
2017-02-01,123.67,123.67,121.41,122.66,1543940.0
2017-02-02,122.94,122.94,120.89,122.36,984182.0
2017-02-03,123.05,123.9,122.67,123.52,699301.0
2017-02-06,123.15,123.7036,122.17,122.6,628277.0
2017-02-07,122.87,123.12,121.88,122.11,847730.0
2017-02-08,121.69,122.23,121.09,122.14,657730.0
2017-02-09,122.18,123.42,122.18,123.08,489892.0
2017-02-10,123.51,124.12,123.07,123.73,395936.0
2017-02-13,124.55,126.82,124.55,126.41,1300850.0
2017-02-14,126.09,126.46,124.85,125.79,547487.0
2017-02-15,125.66,126.98,125.5,126.71,591362.0
2017-02-16,126.62,126.92,125.5802,126.4,642070.0
2017-02-17,126.07,126.69,125.33,126.65,486607.0
2017-02-21,126.58,127.57,126.19,127.25,683426.0
2017-02-22,126.76,127.71,126.265,127.29,674863.0
2017-02-23,127.55,127.93,126.31,127.12,858667.0
2017-02-24,126.46,127.77,126.05,127.77,568584.0
2017-02-27,126.84,128.33,126.63,127.62,703638.0
2017-02-28,127.28,127.81,126.48,127.15,932233.0
2017-03-01,129.0,130.47,128.87,129.3,999580.0
2017-03-02,128.64,129.4,127.95,128.1,513586.0
2017-03-03,128.06,128.43,127.11,128.04,535766.0
2017-03-06,127.05,129.65,127.05,128.56,743725.0
2017-03-07,128.35,128.755,127.76,127.91,783699.0
2017-03-08,127.85,128.75,127.82,128.27,617502.0
2017-03-09,127.92,128.47,127.45,127.63,686181.0
2017-03-10,128.13,129.22,127.8,129.19,540248.0
2017-03-13,129.75,131.19,129.32,130.7,1560207.0
2017-03-14,130.11,130.53,129.21,129.69,727108.0
2017-03-15,130.17,131.255,129.61,131.07,922323.0
2017-03-16,136.9,136.9,130.455,131.14,883049.0
2017-03-17,131.45,132.02,130.53,131.33,1739190.0
2017-03-20,131.56,132.33,130.755,131.21,635431.0
2017-03-21,131.62,131.82,129.35,129.57,742454.0
2017-03-22,129.48,130.98,128.78,130.6,816028.0
2017-03-23,130.69,131.98,130.26,131.16,656557.0
2017-03-24,131.2,132.01,130.231,130.8,568496.0
2017-03-27,129.45,131.27,128.08,130.81,687392.0
2017-03-28,130.59,132.48,130.34,132.1,652290.0
2017-03-29,131.72,132.33,131.3,132.01,606961.0
2017-03-30,131.86,132.99,131.73,132.64,483573.0
2017-03-31,132.35,133.31,132.01,132.87,827187.0
2017-04-03,133.12,133.41,131.41,132.4,702613.0
2017-04-04,132.28,132.64,131.38,131.94,926321.0
2017-04-05,132.12,133.25,130.76,131.1,896046.0
2017-04-06,131.19,133.17,131.19,132.41,850510.0
2017-04-07,132.33,133.0,132.0,132.27,705301.0
2017-04-10,132.35,133.06,131.66,132.52,832495.0
2017-04-11,132.3,132.87,131.59,132.58,715424.0
2017-04-12,132.73,133.05,131.97,132.26,1128359.0
2017-04-13,132.09,132.52,130.57,130.57,697911.0
2017-04-17,130.89,131.56,130.07,131.17,1350689.0
2017-04-18,130.69,131.43,130.04,131.21,938480.0
2017-04-19,131.89,132.94,130.66,131.05,965691.0
2017-04-20,131.73,132.93,131.27,132.71,1059673.0
2017-04-21,136.94,137.9,134.0,137.56,2897151.0
2017-04-24,138.97,140.06,136.46,137.41,2048971.0
2017-04-25,137.88,138.66,136.69,136.86,1129314.0
2017-04-26,137.08,137.44,135.7,136.31,1228134.0
2017-04-27,136.18,137.4,135.79,137.35,1022888.0
2017-04-28,137.17,137.5121,135.99,136.15,1420899.0
2017-05-01,136.03,136.73,135.32,136.11,807776.0
2017-05-02,136.62,137.24,135.81,136.99,895753.0
2017-05-03,136.91,137.31,136.05,136.28,633790.0
2017-05-04,136.23,138.35,136.22,138.18,1459527.0
2017-05-05,138.31,139.09,138.31,138.61,903903.0
2017-05-08,138.28,138.99,137.7501,138.66,770441.0
2017-05-09,138.72,139.255,138.43,138.85,523053.0
2017-05-10,138.9,139.62,138.52,139.08,1040537.0
2017-05-11,137.45,138.27,135.37,138.1,1751471.0
2017-05-12,139.36,139.42,136.8,136.99,2168093.0
2017-05-15,137.0,137.61,136.52,137.43,1133860.0
2017-05-16,137.84,137.84,136.28,136.94,936888.0
2017-05-17,136.27,136.63,134.31,134.44,1276244.0
2017-05-18,134.52,135.5,133.251,134.97,1288401.0
2017-05-19,135.07,137.24,135.01,136.55,1050142.0
2017-05-22,136.75,137.3,135.7,136.33,843875.0
2017-05-23,136.27,136.57,135.08,135.38,895579.0
2017-05-24,135.35,136.29,135.07,136.18,977825.0
2017-05-25,136.45,136.72,135.93,136.35,569783.0
2017-05-26,136.03,137.02,136.0,136.79,829712.0
2017-05-30,136.32,137.14,135.79,136.89,1527489.0
2017-05-31,136.87,137.96,136.25,137.64,1504227.0
2017-06-01,138.16,138.94,137.64,138.82,993360.0
2017-06-02,138.95,139.95,138.67,139.25,891378.0
2017-06-05,138.59,139.28,138.29,138.41,974335.0
2017-06-06,137.83,137.83,136.82,136.85,951439.0
2017-06-07,137.09,137.69,136.72,137.66,774972.0
2017-06-08,137.48,137.96,136.98,137.91,867445.0
2017-06-09,138.01,140.24,137.97,139.99,1127889.0
2017-06-12,139.49,140.17,138.26,138.67,900173.0
2017-06-13,138.86,141.88,138.86,141.58,1105847.0
2017-06-14,141.89,142.06,141.12,141.58,1188601.0
2017-06-15,140.46,141.27,139.93,140.96,876350.0
2017-06-16,141.26,141.76,140.34,141.21,1042480.0
2017-06-19,141.93,142.23,141.0,142.11,955882.0
2017-06-20,141.46,143.54,141.11,142.89,1122525.0
2017-06-21,143.34,143.85,142.49,142.9,1014061.0
2017-06-22,142.68,143.11,142.02,142.14,844971.0
2017-06-23,142.29,143.1,141.82,143.05,965576.0
2017-06-26,142.94,143.65,142.44,142.48,757974.0
2017-06-27,142.71,143.36,140.49,140.49,1258758.0
2017-06-28,141.01,142.5,140.73,141.43,1000951.0
2017-06-29,141.49,141.49,138.7,139.63,1007243.0
2017-06-30,140.06,141.4,139.963,140.73,1159428.0
2017-07-03,141.32,142.425,140.865,141.78,763546.0
2017-07-05,142.0,143.09,141.795,143.02,953610.0
