Date,Open,High,Low,Close,Volume
2017-05-01,186.38,187.63,184.84,186.38,2404222.0
2017-05-02,185.52,186.38,183.01,185.28,3275860.0
2017-05-03,184.84,185.33,182.5,183.76,2571933.0
2017-05-04,183.65,184.86,182.78,184.86,1969477.0
2017-05-05,184.78,186.09,184.1055,185.4,1423052.0
2017-05-06,184.78,186.09,184.1055,185.4,1423052.0
2017-05-07,184.78,186.09,184.1055,185.4,1423052.0
2017-05-08,184.29,184.8,182.35,182.62,2460042.0
2017-05-09,182.07,182.44,179.51,180.66,3202973.0
2017-05-10,181.15,181.55,177.64,179.76,5000730.0
2017-05-11,181.7,184.95,181.56,184.86,11084805.0
2017-05-12,184.24,187.69,184.12,184.62,3125619.0
2017-05-13,184.24,187.69,184.12,184.62,3125619.0
2017-05-14,184.24,187.69,184.12,184.62,3125619.0
2017-05-15,184.12,185.22,183.54,185.13,2810944.0
2017-05-16,185.62,185.81,182.64,182.75,1863840.0
2017-05-17,181.34,182.49,180.44,181.48,2267418.0
2017-05-18,181.48,183.45,180.9,182.61,1575873.0
2017-05-19,183.0,185.1,182.955,184.13,2164101.0
2017-05-20,183.0,185.1,182.955,184.13,2164101.0
2017-05-21,183.0,185.1,182.955,184.13,2164101.0
2017-05-22,184.08,185.78,183.17,184.77,1791827.0
2017-05-23,185.13,187.19,185.03,186.62,1788741.0
2017-05-24,186.56,187.25,185.71,187.0,1465309.0
2017-05-25,187.14,187.42,185.33,186.77,1203279.0
2017-05-26,187.03,187.41,185.65,186.48,1247491.0
2017-05-27,187.03,187.41,185.65,186.48,1247491.0
2017-05-28,187.03,187.41,185.65,186.48,1247491.0
2017-05-29,187.03,187.41,185.65,186.48,1247491.0
2017-05-30,185.76,188.48,185.33,188.07,1581362.0
2017-05-31,189.29,190.71,188.1,189.23,2318350.0
2017-06-01,188.37,193.35,188.3,192.83,2002114.0
2017-06-02,192.96,194.11,192.36,193.06,1397264.0
2017-06-03,192.96,194.11,192.36,193.06,1397264.0
2017-06-04,192.96,194.11,192.36,193.06,1397264.0
2017-06-05,193.2,193.95,192.42,193.07,1212611.0
2017-06-06,193.38,193.89,191.33,191.9,1374428.0
2017-06-07,191.56,193.15,191.31,192.59,1214034.0
2017-06-08,192.52,193.7,190.74,191.83,1564963.0
2017-06-09,192.0,192.95,190.98,192.0,1676019.0
2017-06-10,192.0,192.95,190.98,192.0,1676019.0
2017-06-11,192.0,192.95,190.98,192.0,1676019.0
2017-06-12,192.2,192.58,187.27,191.0,1740084.0
2017-06-13,191.03,192.89,190.06,192.36,1133407.0
2017-06-14,193.0,193.71,191.77,192.52,875418.0
2017-06-15,191.77,192.92,190.94,191.85,1114958.0
2017-06-16,191.95,192.39,190.6,191.29,1532716.0
2017-06-17,191.95,192.39,190.6,191.29,1532716.0
2017-06-18,191.95,192.39,190.6,191.29,1532716.0
2017-06-19,191.87,194.04,191.6,193.48,1185315.0
2017-06-20,193.21,195.88,193.0101,194.46,1791768.0
2017-06-21,194.76,195.52,193.1,193.49,1573221.0
2017-06-22,193.32,195.39,192.94,195.06,1283890.0
2017-06-23,195.08,195.45,193.84,195.15,1654415.0
2017-06-24,195.08,195.45,193.84,195.15,1654415.0
2017-06-25,195.08,195.45,193.84,195.15,1654415.0
2017-06-26,194.95,195.28,194.15,194.72,1254549.0
2017-06-27,194.5,196.01,193.92,194.99,1939587.0
2017-06-28,195.89,195.98,194.63,194.91,1192109.0
2017-06-29,194.5,195.56,192.02,193.23,932988.0
2017-06-30,195.07,196.59,195.01,195.11,1245381.0
2017-07-01,195.07,196.59,195.01,195.11,1245381.0
2017-07-02,195.07,196.59,195.01,195.11,1245381.0
2017-07-03,195.79,196.22,194.63,194.63,681642.0
2017-07-04,195.79,196.22,194.63,194.63,681642.0
2017-07-05,194.53,197.27,194.22,196.98,1063731.0
