Date,Open,High,Low,Close,Volume
2016-02-06,71.67,72.87,70.53,70.69,904115.0
2016-02-07,71.67,72.87,70.53,70.69,904115.0
2016-02-08,69.55,69.55,66.2,67.46,1073599.0
2016-02-09,66.64,69.87,66.29,67.64,1001071.0
2016-02-10,68.38,70.93,68.24,69.37,946866.0
2016-02-11,67.49,69.25,66.72,67.61,801706.0
2016-02-12,68.66,70.595,67.62,70.22,766173.0
2016-02-13,68.66,70.595,67.62,70.22,766173.0
2016-02-14,68.66,70.595,67.62,70.22,766173.0
2016-02-15,68.66,70.595,67.62,70.22,766173.0
2016-02-16,71.56,73.71,70.93,73.06,898811.0
2016-02-17,74.01,77.68,73.81,76.71,1058813.0
2016-02-18,77.1,77.25,74.01,75.31,795680.0
2016-02-19,74.79,75.31,72.33,73.2,789844.0
2016-02-20,74.79,75.31,72.33,73.2,789844.0
2016-02-21,74.79,75.31,72.33,73.2,789844.0
2016-02-22,75.0,76.47,74.56,75.67,712414.0
2016-02-23,75.42,76.89,74.05,74.38,473800.0
2016-02-24,73.31,74.3285,71.47,74.01,565642.0
2016-02-25,74.54,75.95,74.12,75.79,532602.0
2016-02-26,76.36,78.555,76.07,77.72,870592.0
2016-02-27,76.36,78.555,76.07,77.72,870592.0
2016-02-28,76.36,78.555,76.07,77.72,870592.0
2016-02-29,77.52,78.635,76.65,76.68,763075.0
2016-03-01,77.89,79.45,77.4,79.39,1044299.0
2016-03-02,78.9,80.17,78.475,79.53,692464.0
2016-03-03,79.49,81.38,79.49,81.01,822300.0
2016-03-04,81.07,82.0,79.505,80.79,769121.0
2016-03-05,81.07,82.0,79.505,80.79,769121.0
2016-03-06,81.07,82.0,79.505,80.79,769121.0
2016-03-07,80.25,81.71,79.81,80.89,645974.0
2016-03-08,80.27,80.51,77.33,77.42,835574.0
2016-03-09,78.34,78.34,76.5,77.38,935334.0
2016-03-10,77.98,78.45,75.7,76.75,697270.0
2016-03-11,78.05,81.73,76.82,81.41,977800.0
2016-03-12,78.05,81.73,76.82,81.41,977800.0
2016-03-13,78.05,81.73,76.82,81.41,977800.0
2016-03-14,81.97,83.87,81.76,83.37,1135761.0
2016-03-15,82.6,83.41,81.53,82.76,704747.0
2016-03-16,82.62,84.07,82.18,83.87,742642.0
2016-03-17,83.79,88.64,83.33,87.84,1111351.0
2016-03-18,88.52,89.51,88.0481,88.81,1097644.0
2016-03-19,88.52,89.51,88.0481,88.81,1097644.0
2016-03-20,88.52,89.51,88.0481,88.81,1097644.0
2016-03-21,88.82,89.34,88.23,88.85,640819.0
2016-03-22,88.0,88.8,86.92,88.25,502781.0
2016-03-23,87.47,87.99,85.04,85.09,672390.0
2016-03-24,84.7,85.67,82.79,85.66,800451.0
2016-03-25,84.7,85.67,82.79,85.66,800451.0
2016-03-26,84.7,85.67,82.79,85.66,800451.0
2016-03-27,84.7,85.67,82.79,85.66,800451.0
2016-03-28,85.76,86.15,84.28,85.08,495412.0
2016-03-29,84.82,86.76,83.95,86.34,629636.0
2016-03-30,87.01,88.24,85.63,87.01,585541.0
2016-03-31,87.9,89.82,87.18,89.04,995327.0
2016-04-01,87.69,87.69,85.89,86.75,1071703.0
2016-04-02,87.69,87.69,85.89,86.75,1071703.0
2016-04-03,87.69,87.69,85.89,86.75,1071703.0
2016-04-04,86.59,86.83,84.4,84.47,862744.0
2016-04-05,83.8,84.13,81.68,82.17,1141980.0
2016-04-06,82.2,83.08,80.83,82.98,765801.0
2016-04-07,82.6,83.33,81.44,81.88,768733.0
2016-04-08,82.94,83.3,81.03,81.35,684136.0
2016-04-09,82.94,83.3,81.03,81.35,684136.0
2016-04-10,82.94,83.3,81.03,81.35,684136.0
2016-04-11,82.38,83.2575,81.09,81.2,939972.0
2016-04-12,81.9,81.94,79.4,80.13,1407702.0
2016-04-13,80.49,84.5699,80.49,83.92,1939202.0
2016-04-14,83.98,85.21,82.51,84.93,1063080.0
2016-04-15,84.71,85.72,84.1,84.83,791647.0
2016-04-16,84.71,85.72,84.1,84.83,791647.0
2016-04-17,84.71,85.72,84.1,84.83,791647.0
2016-04-18,84.15,86.26,83.95,85.39,932074.0
2016-04-19,85.81,85.81,83.42,84.62,1196109.0
2016-04-20,84.67,86.62,84.48,85.91,1128594.0
2016-04-21,85.96,86.64,85.01,85.74,830529.0
2016-04-22,85.66,88.53,85.55,88.27,1118858.0
2016-04-23,85.66,88.53,85.55,88.27,1118858.0
2016-04-24,85.66,88.53,85.55,88.27,1118858.0
2016-04-25,87.48,88.07,85.97,87.05,862605.0
2016-04-26,87.27,88.88,86.36,88.07,918061.0
2016-04-27,88.1,89.215,87.52,88.9,1040706.0
2016-04-28,79.7,82.0,76.11,77.07,6537415.0
2016-04-29,76.87,77.2,74.03,76.76,3089992.0
2016-04-30,76.87,77.2,74.03,76.76,3089992.0
2016-05-01,76.87,77.2,74.03,76.76,3089992.0
2016-05-02,77.0,77.79,76.49,76.6,1681409.0
2016-05-03,75.52,75.84,74.21,75.25,1380413.0
2016-05-04,74.67,75.2,72.47,73.28,1865788.0
2016-05-05,74.05,74.54,72.47,72.77,1135544.0
2016-05-06,72.17,73.43,72.0,73.14,890256.0
2016-05-07,72.17,73.43,72.0,73.14,890256.0
2016-05-08,72.17,73.43,72.0,73.14,890256.0
2016-05-09,73.21,74.42,73.1,73.3,758606.0
2016-05-10,73.55,75.18,73.45,75.09,1271252.0
2016-05-11,74.52,75.57,73.705,73.85,1037193.0
2016-05-12,74.06,74.81,72.91,73.47,588969.0
2016-05-13,73.41,74.33,72.91,72.95,1208072.0
2016-05-14,73.41,74.33,72.91,72.95,1208072.0
2016-05-15,73.41,74.33,72.91,72.95,1208072.0
2016-05-16,73.27,74.4733,73.27,74.17,494857.0
2016-05-17,73.68,74.81,72.93,73.65,691175.0
2016-05-18,73.41,74.26,72.16,72.84,775735.0
2016-05-19,72.31,73.03,70.7901,71.7,653561.0
2016-05-20,72.21,75.32,72.17,75.15,1291291.0
2016-05-21,72.21,75.32,72.17,75.15,1291291.0
2016-05-22,72.21,75.32,72.17,75.15,1291291.0
2016-05-23,74.8,75.41,73.69,73.77,514005.0
2016-05-24,74.48,76.55,73.84,76.25,866801.0
2016-05-25,76.36,77.86,76.34,77.11,649898.0
2016-05-26,77.19,77.59,76.5,76.93,655766.0
2016-05-27,76.93,78.15,76.81,77.79,692464.0
2016-05-28,76.93,78.15,76.81,77.79,692464.0
2016-05-29,76.93,78.15,76.81,77.79,692464.0
2016-05-30,76.93,78.15,76.81,77.79,692464.0
2016-05-31,78.24,78.98,77.43,78.24,885879.0
2016-06-01,77.51,78.6,76.74,78.46,930731.0
2016-06-02,78.25,80.19,78.25,80.08,639941.0
2016-06-03,79.75,79.75,78.22,78.88,516048.0
2016-06-04,79.75,79.75,78.22,78.88,516048.0
2016-06-05,79.75,79.75,78.22,78.88,516048.0
2016-06-06,79.43,80.16,78.21,79.82,783407.0
2016-06-07,80.0,81.3,79.445,80.71,562601.0
2016-06-08,81.1,82.08,80.86,81.03,420094.0
2016-06-09,80.44,80.5,78.78,79.45,692555.0
2016-06-10,77.83,77.98,76.17,76.71,697999.0
2016-06-11,77.83,77.98,76.17,76.71,697999.0
2016-06-12,77.83,77.98,76.17,76.71,697999.0
2016-06-13,75.79,76.95,75.32,75.41,733583.0
2016-06-14,75.88,76.28,73.93,74.84,743583.0
2016-06-15,75.31,77.059,75.01,75.75,582768.0
2016-06-16,74.82,74.86,73.14,74.49,845513.0
2016-06-17,74.42,75.77,73.89,75.18,646111.0
2016-06-18,74.42,75.77,73.89,75.18,646111.0
2016-06-19,74.42,75.77,73.89,75.18,646111.0
2016-06-20,77.05,78.45,76.53,76.6,741796.0
2016-06-21,77.1,77.1,74.78,75.44,720781.0
2016-06-22,75.52,76.76,75.09,75.11,585050.0
2016-06-23,75.86,77.11,75.54,76.83,756804.0
2016-06-24,73.4,73.42,70.24,70.65,2214397.0
2016-06-25,73.4,73.42,70.24,70.65,2214397.0
2016-06-26,73.4,73.42,70.24,70.65,2214397.0
2016-06-27,69.8,69.9492,64.93,66.22,1797029.0
2016-06-28,67.39,68.97,67.39,68.93,963915.0
2016-06-29,68.25,70.48,67.71,70.04,894742.0
2016-06-30,70.42,71.82,69.17,71.82,1014311.0
2016-07-01,71.6,74.15,71.55,73.29,695593.0
2016-07-02,71.6,74.15,71.55,73.29,695593.0
2016-07-03,71.6,74.15,71.55,73.29,695593.0
2016-07-04,71.6,74.15,71.55,73.29,695593.0
2016-07-05,72.31,72.31,69.87,70.67,1052006.0
2016-07-06,69.88,70.61,68.3101,70.43,1545982.0
2016-07-07,70.98,72.235,70.4,71.41,850100.0
2016-07-08,72.74,74.46,72.39,73.75,963263.0
2016-07-09,72.74,74.46,72.39,73.75,963263.0
2016-07-10,72.74,74.46,72.39,73.75,963263.0
2016-07-11,73.75,75.47,73.5001,74.52,651123.0
2016-07-12,75.7,77.83,75.7,77.58,817610.0
2016-07-13,77.83,78.49,77.08,77.76,600469.0
2016-07-14,78.42,78.755,77.3,77.8,431742.0
2016-07-15,78.3,78.95,77.5003,77.97,445790.0
2016-07-16,78.3,78.95,77.5003,77.97,445790.0
2016-07-17,78.3,78.95,77.5003,77.97,445790.0
2016-07-18,78.03,78.78,77.51,78.28,314359.0
2016-07-19,77.43,78.345,77.1,77.98,419454.0
2016-07-20,78.78,81.55,78.5,80.89,926412.0
2016-07-21,81.0,82.33,81.0,82.11,841775.0
2016-07-22,80.87,81.11,79.54,79.72,987603.0
2016-07-23,80.87,81.11,79.54,79.72,987603.0
2016-07-24,80.87,81.11,79.54,79.72,987603.0
2016-07-25,79.49,80.09,78.96,79.66,734068.0
2016-07-26,79.83,82.28,79.23,82.0,972466.0
2016-07-27,82.44,83.04,80.81,81.37,730031.0
2016-07-28,81.45,81.45,79.26,80.53,694234.0
2016-07-29,80.44,82.96,80.17,82.64,795369.0
2016-07-30,80.44,82.96,80.17,82.64,795369.0
2016-07-31,80.44,82.96,80.17,82.64,795369.0
2016-08-01,83.76,83.97,81.93,82.37,913356.0
2016-08-02,82.53,82.945,79.43,80.92,1125960.0
2016-08-03,80.0,82.53,79.76,81.79,1428738.0
2016-08-04,86.01,90.81,85.07,87.54,2958552.0
2016-08-05,87.55,88.28,86.11,86.92,1966735.0
2016-08-06,87.55,88.28,86.11,86.92,1966735.0
2016-08-07,87.55,88.28,86.11,86.92,1966735.0
2016-08-08,86.93,87.41,85.07,86.11,1409599.0
2016-08-09,86.54,86.54,85.37,86.06,1172590.0
2016-08-10,86.42,86.53,84.34,84.9,885995.0
2016-08-11,85.3,86.12,84.26,84.91,677966.0
2016-08-12,84.81,84.96,84.1,84.81,824317.0
2016-08-13,84.81,84.96,84.1,84.81,824317.0
2016-08-14,84.81,84.96,84.1,84.81,824317.0
2016-08-15,85.44,86.42,84.57,85.9,1084799.0
2016-08-16,85.79,85.835,84.8,85.11,811567.0
2016-08-17,85.26,86.07,84.9008,85.98,693101.0
2016-08-18,86.22,86.88,85.52,86.17,418558.0
2016-08-19,85.6,86.17,85.05,85.29,786269.0
2016-08-20,85.6,86.17,85.05,85.29,786269.0
2016-08-21,85.6,86.17,85.05,85.29,786269.0
2016-08-22,85.16,85.75,84.57,85.44,474977.0
2016-08-23,86.21,86.74,85.58,85.9,567205.0
2016-08-24,85.59,86.035,84.58,85.0,549396.0
2016-08-25,84.76,85.54,84.49,85.53,446692.0
2016-08-26,85.81,86.78,84.94,85.4,481686.0
2016-08-27,85.81,86.78,84.94,85.4,481686.0
2016-08-28,85.81,86.78,84.94,85.4,481686.0
2016-08-29,85.77,85.89,85.19,85.31,439932.0
2016-08-30,85.35,86.417,84.9,84.95,429784.0
2016-08-31,84.65,85.57,83.85,84.69,613644.0
2016-09-01,85.0,86.5,83.95,84.82,990757.0
2016-09-02,85.36,87.04,85.05,85.99,667695.0
2016-09-03,85.36,87.04,85.05,85.99,667695.0
2016-09-04,85.36,87.04,85.05,85.99,667695.0
2016-09-05,85.36,87.04,85.05,85.99,667695.0
2016-09-06,86.13,86.6,84.77,85.59,671922.0
2016-09-07,85.65,86.985,85.56,86.96,528082.0
2016-09-08,86.64,86.91,85.43,85.52,571046.0
2016-09-09,84.61,84.69,80.89,80.93,890107.0
2016-09-10,84.61,84.69,80.89,80.93,890107.0
2016-09-11,84.61,84.69,80.89,80.93,890107.0
2016-09-12,80.0,82.52,79.6926,82.14,1693875.0
2016-09-13,80.75,81.71,79.77,80.54,777765.0
2016-09-14,80.6,80.8,79.27,79.8,853108.0
2016-09-15,80.27,82.5,79.69,81.76,1479737.0
2016-09-16,80.93,82.21,80.65,81.56,884293.0
2016-09-17,80.93,82.21,80.65,81.56,884293.0
2016-09-18,80.93,82.21,80.65,81.56,884293.0
2016-09-19,82.44,83.27,81.37,81.81,569139.0
2016-09-20,82.67,82.9,81.09,81.42,388592.0
2016-09-21,81.95,82.9,81.64,82.69,578859.0
2016-09-22,83.48,84.37,83.2,83.69,442574.0
2016-09-23,83.19,84.22,83.0,83.42,442458.0
2016-09-24,83.19,84.22,83.0,83.42,442458.0
2016-09-25,83.19,84.22,83.0,83.42,442458.0
2016-09-26,82.91,82.97,81.87,82.43,396506.0
2016-09-27,82.52,83.55,82.04,83.12,639679.0
2016-09-28,83.31,84.21,82.06,84.02,692467.0
2016-09-29,83.95,84.64,82.8,83.16,542026.0
2016-09-30,83.67,84.82,83.06,84.45,704992.0
2016-10-01,83.67,84.82,83.06,84.45,704992.0
2016-10-02,83.67,84.82,83.06,84.45,704992.0
2016-10-03,84.16,84.88,83.995,84.82,491060.0
2016-10-04,84.88,84.93,83.05,83.25,524340.0
2016-10-05,83.65,85.41,83.37,84.55,729258.0
2016-10-06,84.28,84.4,82.63,83.99,658600.0
2016-10-07,84.24,84.415,82.71,83.7,614496.0
2016-10-08,84.24,84.415,82.71,83.7,614496.0
2016-10-09,84.24,84.415,82.71,83.7,614496.0
2016-10-10,84.42,84.9456,83.85,84.25,425267.0
2016-10-11,83.66,83.87,81.23,81.66,560606.0
2016-10-12,81.77,82.17,81.3201,81.49,360194.0
2016-10-13,80.39,80.39,78.62,79.37,716279.0
2016-10-14,80.26,81.25,80.135,80.24,576571.0
2016-10-15,80.26,81.25,80.135,80.24,576571.0
2016-10-16,80.26,81.25,80.135,80.24,576571.0
2016-10-17,80.48,81.12,79.75,79.88,453725.0
2016-10-18,80.92,80.92,79.69,79.79,409678.0
2016-10-19,80.0,80.71,79.38,80.19,513987.0
2016-10-20,79.82,80.73,79.7494,80.08,546786.0
2016-10-21,79.08,80.11,79.02,80.01,566188.0
2016-10-22,79.08,80.11,79.02,80.01,566188.0
2016-10-23,79.08,80.11,79.02,80.01,566188.0
2016-10-24,80.75,81.13,80.03,80.36,328996.0
2016-10-25,79.65,79.7,77.62,78.17,694028.0
2016-10-26,78.0,79.72,78.0,78.82,507771.0
2016-10-27,79.92,79.92,77.5,77.58,895450.0
2016-10-28,77.6,79.48,77.47,78.53,676733.0
2016-10-29,77.6,79.48,77.47,78.53,676733.0
2016-10-30,77.6,79.48,77.47,78.53,676733.0
2016-10-31,78.87,80.0,78.64,79.71,694536.0
2016-11-01,79.98,80.495,77.55,78.89,790971.0
2016-11-02,78.48,79.45,77.41,77.91,803203.0
2016-11-03,81.76,82.96,79.4,80.76,1537546.0
2016-11-04,80.86,84.18,80.77,82.33,1039711.0
2016-11-05,80.86,84.18,80.77,82.33,1039711.0
2016-11-06,80.86,84.18,80.77,82.33,1039711.0
2016-11-07,84.0,85.42,83.76,84.45,994142.0
2016-11-08,83.91,86.77,83.03,85.63,796348.0
2016-11-09,83.93,86.0,83.5,85.12,1013268.0
2016-11-10,86.24,88.17,85.77,87.23,1151000.0
2016-11-11,86.85,87.97,86.53,87.65,1177022.0
2016-11-12,86.85,87.97,86.53,87.65,1177022.0
2016-11-13,86.85,87.97,86.53,87.65,1177022.0
2016-11-14,110.43,110.85,109.42,109.72,13192093.0
2016-11-15,109.01,109.87,109.01,109.49,5719964.0
2016-11-16,109.4,109.92,109.1,109.2,3990955.0
2016-11-17,109.2,109.43,109.0375,109.3,2830294.0
2016-11-18,109.19,109.9,109.09,109.35,2573806.0
2016-11-19,109.19,109.9,109.09,109.35,2573806.0
2016-11-20,109.19,109.9,109.09,109.35,2573806.0
2016-11-21,109.35,109.69,109.28,109.37,1392261.0
2016-11-22,109.46,109.78,109.34,109.47,1390997.0
2016-11-23,109.47,109.72,109.35,109.5,1487490.0
2016-11-24,109.47,109.72,109.35,109.5,1487490.0
2016-11-25,109.41,109.87,109.32,109.74,400598.0
2016-11-26,109.41,109.87,109.32,109.74,400598.0
2016-11-27,109.41,109.87,109.32,109.74,400598.0
2016-11-28,109.66,109.94,109.4,109.52,1694624.0
2016-11-29,109.5,109.56,109.26,109.45,2400603.0
2016-11-30,109.55,109.65,109.35,109.37,1640623.0
2016-12-01,109.38,109.62,109.32,109.44,1465120.0
2016-12-02,109.55,109.57,109.38,109.47,1158168.0
2016-12-03,109.55,109.57,109.38,109.47,1158168.0
2016-12-04,109.55,109.57,109.38,109.47,1158168.0
2016-12-05,109.48,109.83,109.45,109.66,1068074.0
2016-12-06,109.65,109.9,109.52,109.71,1050902.0
2016-12-07,109.71,109.95,109.57,109.95,1518803.0
2016-12-08,109.9,110.06,109.75,110.0,1518099.0
2016-12-09,109.96,110.0,109.65,109.74,1051546.0
2016-12-10,109.96,110.0,109.65,109.74,1051546.0
2016-12-11,109.96,110.0,109.65,109.74,1051546.0
2016-12-12,109.77,109.82,109.6,109.7,1333767.0
2016-12-13,109.79,110.13,109.75,110.0,1209374.0
2016-12-14,109.86,110.3,109.7,109.89,2288084.0
2016-12-15,109.92,110.69,109.9,110.48,1014810.0
2016-12-16,110.5,110.97,110.38,110.93,1381801.0
2016-12-17,110.5,110.97,110.38,110.93,1381801.0
2016-12-18,110.5,110.97,110.38,110.93,1381801.0
2016-12-19,110.74,110.94,110.36,110.66,587866.0
2016-12-20,110.6,111.02,110.6,111.0,730792.0
2016-12-21,110.96,111.05,110.67,110.75,718552.0
2016-12-22,110.77,110.96,110.5,110.85,826755.0
2016-12-23,110.76,111.05,110.63,110.96,257905.0
2016-12-24,110.76,111.05,110.63,110.96,257905.0
2016-12-25,110.76,111.05,110.63,110.96,257905.0
2016-12-26,110.76,111.05,110.63,110.96,257905.0
2016-12-27,110.99,111.32,110.95,111.03,342173.0
2016-12-28,111.08,111.26,110.88,111.15,1079243.0
2016-12-29,110.93,111.245,110.91,111.06,433094.0
2016-12-30,111.08,111.305,110.99,111.16,456199.0
2016-12-31,111.08,111.305,110.99,111.16,456199.0
2017-01-01,111.08,111.305,110.99,111.16,456199.0
2017-01-02,111.08,111.305,110.99,111.16,456199.0
2017-01-03,111.18,111.18,110.65,110.93,1041702.0
2017-01-04,110.9,111.2,110.75,110.85,935315.0
2017-01-05,110.8,111.0,110.74,110.88,923823.0
2017-01-06,110.85,110.94,110.72,110.81,839615.0
2017-01-07,110.85,110.94,110.72,110.81,839615.0
2017-01-08,110.85,110.94,110.72,110.81,839615.0
2017-01-09,110.78,110.84,110.55,110.61,1646618.0
2017-01-10,110.65,110.85,110.6,110.65,693862.0
2017-01-11,110.65,110.87,110.61,110.8,759708.0
2017-01-12,110.75,110.85,110.65,110.83,672189.0
2017-01-13,110.8,111.0,110.61,110.67,511121.0
2017-01-14,110.8,111.0,110.61,110.67,511121.0
2017-01-15,110.8,111.0,110.61,110.67,511121.0
2017-01-16,110.8,111.0,110.61,110.67,511121.0
2017-01-17,110.64,110.81,110.51,110.7,1056594.0
2017-01-18,110.65,110.81,110.35,110.7,1534003.0
2017-01-19,110.61,110.73,110.48,110.55,984779.0
2017-01-20,110.67,110.74,110.43,110.59,1324379.0
2017-01-21,110.67,110.74,110.43,110.59,1324379.0
2017-01-22,110.67,110.74,110.43,110.59,1324379.0
2017-01-23,110.55,110.78,110.52,110.7,782057.0
2017-01-24,110.7,111.0,110.7,110.76,787557.0
2017-01-25,110.75,111.005,110.735,110.97,904324.0
2017-01-26,111.12,111.34,110.9,111.08,1157712.0
2017-01-27,111.06,111.35,110.96,111.19,738804.0
2017-01-28,111.06,111.35,110.96,111.19,738804.0
2017-01-29,111.06,111.35,110.96,111.19,738804.0
2017-01-30,111.2,111.275,110.85,111.1,1114215.0
2017-01-31,111.04,111.23,110.84,111.16,840367.0
2017-02-01,111.1,111.35,111.1,111.26,1296463.0
2017-02-02,111.03,111.32,110.88,111.12,997344.0
2017-02-03,111.18,111.2,110.86,110.91,521816.0
2017-02-04,111.18,111.2,110.86,110.91,521816.0
2017-02-05,111.18,111.2,110.86,110.91,521816.0
2017-02-06,110.9,111.2,110.9,111.14,499238.0
2017-02-07,111.1,111.4,111.065,111.4,1052472.0
2017-02-08,111.29,111.32,111.04,111.14,2358624.0
2017-02-09,111.1,111.25,111.03,111.15,877481.0
2017-02-10,111.1,111.2,110.92,111.0,868925.0
2017-02-11,111.1,111.2,110.92,111.0,868925.0
2017-02-12,111.1,111.2,110.92,111.0,868925.0
2017-02-13,111.0,111.07,110.85,111.0,1445422.0
2017-02-14,110.9,111.06,110.83,111.05,785915.0
2017-02-15,111.02,111.14,110.91,111.14,962502.0
2017-02-16,111.05,111.14,110.85,110.98,828245.0
2017-02-17,110.9,111.01,110.7,111.01,1246958.0
2017-02-18,110.9,111.01,110.7,111.01,1246958.0
2017-02-19,110.9,111.01,110.7,111.01,1246958.0
2017-02-20,110.9,111.01,110.7,111.01,1246958.0
2017-02-21,111.1,111.25,111.0,111.19,1550711.0
2017-02-22,111.13,111.25,111.05,111.2,900696.0
2017-02-23,111.09,111.25,111.09,111.1,945797.0
2017-02-24,111.35,111.47,111.145,111.44,1011156.0
2017-02-25,111.35,111.47,111.145,111.44,1011156.0
2017-02-26,111.35,111.47,111.145,111.44,1011156.0
2017-02-27,111.53,111.69,111.5,111.66,686945.0
2017-02-28,111.67,111.7,111.44,111.62,991288.0
2017-03-01,111.68,111.85,111.5319,111.56,559890.0
2017-03-02,111.56,111.59,111.51,111.57,727428.0
2017-03-03,111.6,111.68,111.52,111.57,623164.0
2017-03-04,111.6,111.68,111.52,111.57,623164.0
2017-03-05,111.6,111.68,111.52,111.57,623164.0
2017-03-06,111.54,111.6,111.5,111.5,1608289.0
2017-03-07,111.5,111.56,111.35,111.43,861201.0
2017-03-08,111.55,111.6,111.45,111.56,1226888.0
2017-03-09,111.54,111.68,111.47,111.5,1367373.0
2017-03-10,111.5,111.62,111.43,111.5,1077509.0
